"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"422",13,"Isaiah McKenzie",BUF,"WR133","7","4 out of 5 stars","-"
"423",13,"Damiere Byrd",ATL,"WR134","6","3 out of 5 stars","-"
"424",13,"Danny Amendola",HOU,"WR135","10","3 out of 5 stars","-"
"425",13,"Kalif Raymond",DET,"WR136","9","3 out of 5 stars","-"
"426",13,"Mohamed Sanu Sr.",SF,"WR137","6","3 out of 5 stars","-"
"427",13,"Ihmir Smith-Marsette",MIN,"WR138","7","2 out of 5 stars","-"
"428",13,"Jordan Love",GB,"QB43","13","4 out of 5 stars","-"
"429",13,"Golden Tate",FA,"WR139","-","-","-"
"430",13,"Jeremy McNichols",FA,"RB117","-","-","-"
"431",13,"Kene Nwangwu",MIN,"RB118","7","4 out of 5 stars","-"
"432",13,"Antonio Gandy-Golden",WAS,"WR140","9","2 out of 5 stars","-"
"433",13,"Marquise Goodwin",CHI,"WR141","10","2 out of 5 stars","-"
"434",13,"Willie Snead IV",FA,"WR142","-","-","-"
"435",13,"Ty Montgomery",NE,"RB119","14","4 out of 5 stars","-"
"436",13,"Jalen Hurd",FA,"WR143","-","-","-"
"437",13,"Collin Johnson",NYG,"WR144","10","3 out of 5 stars","-"
"438",13,"Cedrick Wilson Jr.",MIA,"WR145","14","5 out of 5 stars","-"
"439",13,"Darren Fells",FA,"TE60","-","-","-"
"440",13,"Marcus Mariota",ATL,"QB44","6","2 out of 5 stars","-"
"441",13,"Devine Ozigbo",NE,"RB120","14","4 out of 5 stars","-"
"442",13,"Randy Bullock",TEN,"K41","13","4 out of 5 stars","-"
"443",13,"Tyler Eifert",FA,"TE61","-","-","-"
"444",13,"Larry Fitzgerald",FA,"WR146","-","-","-"
"445",13,"Mitchell Trubisky",PIT,"QB45","7","3 out of 5 stars","-"
"446",13,"Anthony Schwartz",CLE,"WR147","13","3 out of 5 stars","-"
"447",13,"Dez Fitzpatrick",TEN,"WR148","13","3 out of 5 stars","-"
"448",13,"Patrick Ricard",BAL,"RB121","8","4 out of 5 stars","-"
"449",13,"Bryce Love",FA,"RB122","-","-","-"
"450",13,"D'Ernest Johnson",CLE,"RB123","13","4 out of 5 stars","-"
"451",13,"David Moore",FA,"WR149","-","-","-"
"452",13,"C.J. Ham",MIN,"RB124","7","4 out of 5 stars","-"
"453",13,"Gary Brightwell",NYG,"RB125","10","2 out of 5 stars","-"
"454",13,"Mekhi Sargent",JAC,"RB126","7","2 out of 5 stars","-"
"455",13,"Lil'Jordan Humphrey",NO,"WR150","6","2 out of 5 stars","-"
"456",13,"Alec Ingold",MIA,"RB127","14","4 out of 5 stars","-"
"457",13,"Jace Sternberger",PIT,"TE62","7","3 out of 5 stars","-"
"458",13,"Brycen Hopkins",LAR,"TE63","11","3 out of 5 stars","-"
"459",13,"Cornell Powell",KC,"WR151","12","2 out of 5 stars","-"
"460",13,"Pharaoh Brown",HOU,"TE64","10","3 out of 5 stars","-"
"461",13,"Tommy Tremble",CAR,"TE65","13","4 out of 5 stars","-"
"462",13,"Keith Smith",ATL,"RB128","6","3 out of 5 stars","-"
"463",13,"Noah Gray",KC,"TE66","12","3 out of 5 stars","-"
"464",13,"Trent Sherfield",MIA,"WR152","14","5 out of 5 stars","-"
"465",13,"Ryan Griffin",CHI,"TE67","10","2 out of 5 stars","-"
"466",13,"Alshon Jeffery",FA,"WR153","-","-","-"
"467",13,"Darwin Thompson",SEA,"RB129","9","1 out of 5 stars","-"
"468",13,"Mike Strachan",IND,"WR154","14","4 out of 5 stars","-"
"469",13,"Trayveon Williams",CIN,"RB130","10","5 out of 5 stars","-"
"470",13,"Corey Clement",DAL,"RB131","7","3 out of 5 stars","-"
"471",13,"Nick Vannett",NO,"TE68","6","4 out of 5 stars","-"
"472",13,"Trenton Cannon",TEN,"RB132","13","2 out of 5 stars","-"
"473",13,"Shi Smith",CAR,"WR155","13","4 out of 5 stars","-"
"474",13,"Jaelon Darden",TB,"WR156","9","4 out of 5 stars","-"
"475",13,"Zay Jones",JAC,"WR157","7","3 out of 5 stars","-"
"476",13,"Aldrick Rosas",FA,"K42","-","-","-"
"477",13,"Kahale Warring",JAC,"TE69","7","4 out of 5 stars","-"
"478",13,"Tucker McCann",FA,"K43","-","-","-"
"479",13,"Khari Blasingame",CHI,"RB133","10","4 out of 5 stars","-"
"480",13,"Ross Dwelley",SF,"TE70","6","4 out of 5 stars","-"
"481",13,"K.J. Osborn",MIN,"WR158","7","2 out of 5 stars","-"
"482",13,"Brian Hill",SF,"RB134","6","4 out of 5 stars","-"
"483",13,"Cam Akers",LAR,"RB135","11","3 out of 5 stars","-"
"484",13,"Frank Darby",ATL,"WR159","6","3 out of 5 stars","-"
"485",13,"Chris Manhertz",JAC,"TE71","7","4 out of 5 stars","-"
"486",13,"Chad Beebe",FA,"WR160","-","-","-"
"487",13,"Gerrid Doaks",MIA,"RB136","14","4 out of 5 stars","-"
"488",13,"Kelvin Harmon",WAS,"WR161","9","2 out of 5 stars","-"
"489",13,"D'Onta Foreman",CAR,"RB137","13","3 out of 5 stars","-"
"490",14,"Demetric Felton",CLE,"RB138","13","4 out of 5 stars","-"
"491",14,"Richard Rodgers",PHI,"TE72","14","3 out of 5 stars","-"
"492",14,"Braxton Berrios",NYJ,"WR162","6","3 out of 5 stars","-"
"493",14,"Ameer Abdullah",CAR,"RB139","13","3 out of 5 stars","-"
"494",14,"Christian Blake",ATL,"WR163","6","3 out of 5 stars","-"
"495",14,"Josh Oliver",BAL,"TE73","8","3 out of 5 stars","-"
"496",14,"Dazz Newsome",CHI,"WR164","10","2 out of 5 stars","-"
"497",14,"Jakeem Grant Sr.",CLE,"WR165","13","3 out of 5 stars","-"
"498",14,"Andy Janovich",HOU,"RB140","10","2 out of 5 stars","-"
"499",14,"Cameron Batson",TEN,"WR166","13","3 out of 5 stars","-"
"500",14,"Durham Smythe",MIA,"TE74","14","3 out of 5 stars","-"
"501",14,"Blake Bell",KC,"TE75","12","3 out of 5 stars","-"
"502",14,"Phillip Dorsett II",HOU,"WR167","10","3 out of 5 stars","-"
"503",14,"Michael Burton",KC,"RB141","12","4 out of 5 stars","-"
"504",14,"Andre Roberts",LAC,"WR168","7","3 out of 5 stars","-"
"505",14,"Richie James Jr.",NYG,"WR169","10","3 out of 5 stars","-"
"506",14,"Jacoby Brissett",CLE,"QB46","13","4 out of 5 stars","-"
"507",14,"Kenny Stills",NO,"WR170","6","2 out of 5 stars","-"
"508",14,"Patrick Laird",MIA,"RB142","14","4 out of 5 stars","-"
"509",14,"Marcedes Lewis",GB,"TE76","13","1 out of 5 stars","-"
"510",14,"Tre' McKitty",LAC,"TE77","7","2 out of 5 stars","-"
"511",14,"Darrell Daniels",ARI,"TE78","12","3 out of 5 stars","-"
"512",14,"Jamal Agnew",JAC,"WR171","7","3 out of 5 stars","-"
"513",14,"Kellen Mond",MIN,"QB47","7","4 out of 5 stars","-"
"514",14,"Brandon Bolden",LV,"RB143","8","3 out of 5 stars","-"
"515",14,"P.J. Walker",CAR,"QB48","13","2 out of 5 stars","-"
"516",14,"Dwayne Haskins",FA,"QB49","-","-","-"
"517",14,"Raymond Calais",LAR,"RB144","11","3 out of 5 stars","-"
"518",14,"Devin Asiasi",NE,"TE79","14","4 out of 5 stars","-"
"519",14,"Jaylen Samuels",ARI,"RB145","12","2 out of 5 stars","-"
"520",14,"Trey Burton",FA,"TE80","-","-","-"
"521",14,"Jonathan Ward",ARI,"RB146","12","2 out of 5 stars","-"
"522",14,"Tavon Austin",JAC,"WR172","7","3 out of 5 stars","-"
"523",14,"Jakob Johnson",LV,"RB147","8","3 out of 5 stars","-"
"524",14,"Marquez Stevenson",BUF,"WR173","7","4 out of 5 stars","-"
"525",14,"Frank Gore",FA,"RB148","-","-","-"
"526",14,"Luke Farrell",JAC,"TE81","7","4 out of 5 stars","-"
"527",14,"Kenny Yeboah",NYJ,"TE82","6","4 out of 5 stars","-"
"528",14,"Dwayne Washington",NO,"RB149","6","4 out of 5 stars","-"
"529",14,"Tre Harbison III",CLE,"RB150","13","4 out of 5 stars","-"
"530",14,"Pooka Williams Jr.",CIN,"RB151","10","5 out of 5 stars","-"
"531",14,"LeSean McCoy",FA,"RB152","-","-","-"
"532",14,"Theo Riddick",FA,"RB153","-","-","-"
"533",14,"Tajae Sharpe",ATL,"WR174","6","3 out of 5 stars","-"
"534",14,"Reggie Gilliam",BUF,"RB154","7","2 out of 5 stars","-"
"535",14,"J.J. Arcega-Whiteside",PHI,"WR175","14","4 out of 5 stars","-"
"536",14,"Trey Ragas",LV,"RB155","8","3 out of 5 stars","-"
"537",14,"Trinity Benson",DET,"WR176","9","3 out of 5 stars","-"
"538",14,"Hunter Bryant",DET,"TE83","9","3 out of 5 stars","-"
"539",14,"Simi Fehoko",DAL,"WR177","7","4 out of 5 stars","-"
"540",14,"Vance McDonald",FA,"TE84","-","-","-"
"541",14,"Ryquell Armstead",JAC,"RB156","7","2 out of 5 stars","-"
"542",14,"KhaDarel Hodge",ATL,"WR178","6","3 out of 5 stars","-"
"543",14,"Adam Shaheen",MIA,"TE85","14","3 out of 5 stars","-"
"544",14,"Equanimeous St. Brown",CHI,"WR179","10","2 out of 5 stars","-"
"545",14,"Tommy Sweeney",BUF,"TE86","7","4 out of 5 stars","-"
"546",14,"Elijhaa Penny",NYG,"RB157","10","2 out of 5 stars","-"
"547",14,"Ryan Izzo",TEN,"TE87","13","3 out of 5 stars","-"
"548",14,"Marcus Kemp",KC,"WR180","12","2 out of 5 stars","-"
"549",14,"Dedrick Mills",FA,"RB158","-","-","-"
"550",14,"Devin Funchess",FA,"WR181","-","-","-"
"551",14,"Noah Brown",DAL,"WR182","7","4 out of 5 stars","-"
"552",14,"James Proche II",BAL,"WR183","8","2 out of 5 stars","-"
"553",14,"KJ Hill Jr.",FA,"WR184","-","-","-"
"554",14,"Ashton Dulin",IND,"WR185","14","4 out of 5 stars","-"
"555",14,"Lee Smith",FA,"TE88","-","-","-"
"556",14,"Cade Johnson",SEA,"WR186","9","4 out of 5 stars","-"
"557",14,"Jared Pinkney",DET,"TE89","9","3 out of 5 stars","-"
"558",14,"Nick Foles",CHI,"QB50","10","3 out of 5 stars","-"
"559",14,"Nate McCrary",BAL,"RB159","8","4 out of 5 stars","-"
"560",14,"Andrew Jacas",SF,"K44","6","4 out of 5 stars","-"
"561",14,"Javon Wims",FA,"WR187","-","-","-"
"562",14,"Mike Thomas",CIN,"WR188","10","4 out of 5 stars","-"
"563",14,"Antonio Williams",NYG,"RB160","10","2 out of 5 stars","-"
"564",14,"Jake Kumerow",BUF,"WR189","7","4 out of 5 stars","-"
"565",14,"Chris Streveler",MIA,"QB51","14","3 out of 5 stars","-"
"566",14,"Jaeden Graham",FA,"TE90","-","-","-"
"567",14,"Johnny Mundt",MIN,"TE91","7","4 out of 5 stars","-"
"568",14,"Jauan Jennings",SF,"WR190","6","3 out of 5 stars","-"
"569",14,"Tyler Huntley",BAL,"QB52","8","3 out of 5 stars","-"
"570",14,"Alex Armah Jr.",WAS,"RB161","9","3 out of 5 stars","-"
"571",14,"Nick Westbrook-Ikhine",TEN,"WR191","13","3 out of 5 stars","-"
"572",14,"Isaiah Coulter",CHI,"WR192","10","2 out of 5 stars","-"
"573",14,"T.J. Yeldon",FA,"RB162","-","-","-"
"574",14,"Otis Anderson Jr.",FA,"RB163","-","-","-"
"575",14,"Colby Parkinson",SEA,"TE92","9","1 out of 5 stars","-"
"576",14,"Charlie Woerner",SF,"TE93","6","4 out of 5 stars","-"
"577",14,"Justin Watson",KC,"WR193","12","2 out of 5 stars","-"
"578",14,"Malcolm Perry",FA,"WR194","-","-","-"
"579",14,"Ben Skowronek",LAR,"WR195","11","3 out of 5 stars","-"
"580",14,"Tim Tebow",FA,"TE94","-","-","-"
"581",14,"John Hightower",PHI,"WR196","14","4 out of 5 stars","-"
"582",14,"Temarrick Hemingway",FA,"TE95","-","-","-"
"583",14,"Chris Rowland",FA,"WR197","-","-","-"
"584",14,"Gunner Olszewski",PIT,"WR198","7","2 out of 5 stars","-"
"585",14,"Sam Ehlinger",IND,"QB53","14","2 out of 5 stars","-"
"586",14,"Ricky Seals-Jones",NYG,"TE96","10","4 out of 5 stars","-"
"587",15,"D.J. Montgomery",NYJ,"WR199","6","3 out of 5 stars","-"
"588",15,"John Bates",WAS,"TE97","9","5 out of 5 stars","-"
"589",15,"Kevin White",NO,"WR200","6","2 out of 5 stars","-"
"590",15,"Brandon Zylstra",CAR,"WR201","13","4 out of 5 stars","-"
"591",15,"Derek Carrier",LV,"TE98","8","3 out of 5 stars","-"
"592",15,"Zach Gentry",PIT,"TE99","7","3 out of 5 stars","-"
"593",15,"Chester Rogers",TEN,"WR202","13","3 out of 5 stars","-"
"594",15,"Trevon Wesco",NYJ,"TE100","6","4 out of 5 stars","-"
"595",15,"Seth Williams",DEN,"WR203","11","4 out of 5 stars","-"
"596",15,"Stephen Anderson",ARI,"TE101","12","3 out of 5 stars","-"
"597",15,"Daniel Brown",NYJ,"TE102","6","4 out of 5 stars","-"
"598",15,"Eric Saubert",DEN,"TE103","11","4 out of 5 stars","-"
"599",15,"Antonio Callaway",FA,"WR204","-","-","-"
"600",15,"Josiah Deguara",GB,"TE104","13","1 out of 5 stars","-"
"601",15,"Cethan Carter",MIA,"TE105","14","3 out of 5 stars","-"
"602",15,"Nick Bowers",LV,"TE106","8","3 out of 5 stars","-"
"603",15,"DaeSean Hamilton",HOU,"WR205","10","3 out of 5 stars","-"
"604",15,"Chad Henne",KC,"QB54","12","3 out of 5 stars","-"
"605",15,"Jeremy Sprinkle",DAL,"TE107","7","1 out of 5 stars","-"
"606",15,"Garrett Griffin",DET,"TE108","9","3 out of 5 stars","-"
"607",15,"Daurice Fountain",KC,"WR206","12","2 out of 5 stars","-"
"608",15,"Kaden Smith",FA,"TE109","-","-","-"
"609",15,"Marcus Johnson",SF,"WR207","6","3 out of 5 stars","-"
"610",15,"Joe Flacco",NYJ,"QB55","6","1 out of 5 stars","-"
"611",15,"Lamar Miller",FA,"RB164","-","-","-"
"612",15,"J.P. Holtz",NO,"TE110","6","4 out of 5 stars","-"
"613",15,"Malik Taylor",GB,"WR208","13","4 out of 5 stars","-"
"614",15,"KeeSean Johnson",SF,"WR209","6","3 out of 5 stars","-"
"615",15,"Charlie Taumoepeau",DET,"TE111","9","3 out of 5 stars","-"
"616",15,"Ray-Ray McCloud",SF,"WR210","6","3 out of 5 stars","-"
"617",15,"Alex Erickson",CAR,"WR211","13","4 out of 5 stars","-"
"618",15,"Thaddeus Moss",CIN,"TE112","10","3 out of 5 stars","-"
"619",15,"Brandon Dillon",NYJ,"TE113","6","4 out of 5 stars","-"
"620",15,"Diontae Spencer",DEN,"WR212","11","4 out of 5 stars","-"
"621",15,"Jarrett Stidham",NE,"QB56","14","4 out of 5 stars","-"
"622",15,"Dominique Dafney",GB,"TE114","13","1 out of 5 stars","-"
"623",15,"Mitchell Wilcox",CIN,"TE115","10","3 out of 5 stars","-"
"624",15,"Mason Schreck",FA,"TE116","-","-","-"
"625",15,"Mason Rudolph",PIT,"QB57","7","3 out of 5 stars","-"
"626",15,"Dalton Keene",NE,"TE117","14","4 out of 5 stars","-"
"627",15,"Colin Thompson",CAR,"TE118","13","4 out of 5 stars","-"
"628",15,"Giovanni Ricci",CAR,"TE119","13","4 out of 5 stars","-"
"629",15,"Farrod Green",IND,"TE120","14","3 out of 5 stars","-"
"630",15,"Joe Reed",LAC,"WR213","7","3 out of 5 stars","-"
"631",15,"Sammis Reyes",WAS,"TE121","9","5 out of 5 stars","-"
"632",15,"Jack Stoll",PHI,"TE122","14","3 out of 5 stars","-"
"633",15,"Jesper Horsted",CHI,"TE123","10","2 out of 5 stars","-"
"634",15,"DeAndre Carter",LAC,"WR214","7","3 out of 5 stars","-"
"635",15,"Chris Moore",HOU,"WR215","10","3 out of 5 stars","-"
"636",15,"Sean McKeon",DAL,"TE124","7","1 out of 5 stars","-"
"637",15,"Trishton Jackson",MIN,"WR216","7","2 out of 5 stars","-"
"638",15,"Dan Chisena",MIN,"WR217","7","2 out of 5 stars","-"
"639",15,"Kendall Hinton",DEN,"WR218","11","4 out of 5 stars","-"
"640",15,"Riley Ridley",FA,"WR219","-","-","-"
"641",16,"Nsimba Webster",CHI,"WR220","10","2 out of 5 stars","-"
"642",16,"Dax Milne",WAS,"WR221","9","2 out of 5 stars","-"
"643",16,"Dezmon Patmon",IND,"WR222","14","4 out of 5 stars","-"
"644",16,"T.J. Vasher",DAL,"WR223","7","4 out of 5 stars","-"
"645",16,"Trent Taylor",CIN,"WR224","10","4 out of 5 stars","-"
"646",16,"Penny Hart",SEA,"WR225","9","4 out of 5 stars","-"
"647",16,"Stephen Guidry",FA,"WR226","-","-","-"
"648",16,"Racey McMath",TEN,"WR227","13","3 out of 5 stars","-"
"649",16,"Antoine Wesley",ARI,"WR228","12","3 out of 5 stars","-"
