"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"1",1,"David Johnson",HOU,"RB1","1","3","1.1","0.4"
"2",1,"Le'Veon Bell",FA,"RB2","1","3","1.9","0.4"
"3",1,"Antonio Brown",FA,"WR1","1","4","3.0","0.3"
"4",1,"Julio Jones",FA,"WR2","3","16","5.6","1.9"
"5",1,"Odell Beckham Jr.",FA,"WR3","4","13","5.7","1.5"
"6",2,"LeSean McCoy",FA,"RB3","4","46","7.5","5.1"
"7",2,"A.J. Green",ARI,"WR4","5","14","8.5","2.5"
"8",2,"Mike Evans",TB,"WR5","4","16","8.8","2.8"
"9",2,"Melvin Gordon III",FA,"RB4","4","23","9.3","3.1"
"10",2,"Devonta Freeman",BAL,"RB5","4","27","9.7","3.4"
"11",2,"Jordy Nelson",FA,"WR6","6","16","10.7","2.8"
"12",3,"Jay Ajayi",FA,"RB6","4","44","14.1","5.7"
"13",3,"DeMarco Murray",FA,"RB7","8","54","15.4","6.7"
"14",3,"Michael Thomas",NO,"WR7","7","19","13.0","2.5"
"15",3,"Jordan Howard",PHI,"RB8","9","42","18.0","7.0"
"16",3,"Dez Bryant",FA,"WR8","10","38","18.8","4.5"
"17",3,"Amari Cooper",CLE,"WR9","11","30","19.4","3.4"
"18",3,"Doug Baldwin",FA,"WR10","12","31","19.4","3.6"
"19",3,"Todd Gurley II",FA,"RB9","9","56","20.6","7.3"
"20",3,"Brandin Cooks",HOU,"WR11","12","45","21.2","6.2"
"21",3,"Rob Gronkowski",FA,"TE1","12","50","22.0","5.4"
"22",4,"T.Y. Hilton",IND,"WR12","7","48","25.5","8.2"
"23",4,"Demaryius Thomas",FA,"WR13","18","47","25.5","5.9"
"24",4,"DeAndre Hopkins",ARI,"WR14","14","47","25.9","6.4"
"25",4,"Ezekiel Elliott",DAL,"RB10","4","110","29.3","19.5"
"26",4,"Keenan Allen",LAC,"WR15","14","60","29.7","7.6"
"27",4,"Isaiah Crowell",FA,"RB11","12","53","30.7","9.6"
"28",4,"Travis Kelce",KC,"TE2","20","60","34.9","7.5"
"29",4,"Leonard Fournette",TB,"RB12","15","82","35.5","12.6"
"30",4,"Alshon Jeffery",FA,"WR16","22","77","36.0","10.8"
"31",4,"Terrelle Pryor Sr.",FA,"WR17","16","70","36.2","12.3"
"32",5,"Michael Crabtree",FA,"WR18","23","69","37.5","9.0"
"33",5,"Christian McCaffrey",CAR,"RB13","15","64","37.6","11.9"
"34",5,"Dalvin Cook",MIN,"RB14","12","76","38.1","15.2"
"35",5,"Golden Tate",FA,"WR19","20","68","38.5","10.5"
"36",5,"Lamar Miller",FA,"RB15","15","107","38.7","13.1"
"37",5,"Larry Fitzgerald",FA,"WR20","21","83","39.8","12.2"
"38",5,"Aaron Rodgers",GB,"QB1","23","359","41.1","36.8"
"39",5,"Allen Robinson II",LAR,"WR21","22","71","41.3","11.6"
"40",5,"Carlos Hyde",FA,"RB16","17","114","42.9","13.1"
"41",5,"Kareem Hunt",CLE,"RB17","13","195","40.3","26.4"
"42",5,"Ty Montgomery",NE,"RB18","12","86","43.8","14.7"
"43",5,"Davante Adams",LV,"WR22","20","89","44.8","13.3"
"44",5,"Marshawn Lynch",FA,"RB19","15","101","46.0","16.5"
"45",5,"Tom Brady",TB,"QB2","23","59","39.8","5.8"
"46",5,"Greg Olsen",FA,"TE3","33","70","48.9","7.1"
"47",6,"Jordan Reed",FA,"TE4","27","107","51.3","12.7"
"48",6,"Stefon Diggs",BUF,"WR23","23","80","51.5","14.0"
"49",6,"Jarvis Landry",FA,"WR24","18","77","51.7","16.3"
"50",6,"Drew Brees",FA,"QB3","35","172","49.1","14.8"
"51",6,"Tyreek Hill",MIA,"WR25","24","98","54.1","14.6"
"52",6,"Emmanuel Sanders",BUF,"WR26","31","95","54.4","12.8"
"53",6,"Bilal Powell",FA,"RB20","30","119","54.8","13.6"
"54",6,"Mark Ingram II",NO,"RB21","23","105","54.9","13.3"
"55",6,"Joe Mixon",CIN,"RB22","22","151","55.4","18.0"
"56",6,"Sammy Watkins",BAL,"WR27","24","89","56.4","15.0"
