"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"1",1,"Antonio Brown",FA,"WR1","1","4","1.2","0.5"
"2",1,"Julio Jones",FA,"WR2","1","6","2.4","0.9"
"3",1,"Odell Beckham Jr.",FA,"WR3","2","10","4.2","1.8"
"4",2,"David Johnson",HOU,"RB1","1","33","5.3","4.0"
"5",2,"Todd Gurley II",FA,"RB2","2","23","7.5","4.2"
"6",2,"A.J. Green",ARI,"WR4","4","18","8.0","3.3"
"7",2,"DeAndre Hopkins",ARI,"WR5","3","20","8.7","3.5"
"8",2,"Rob Gronkowski",FA,"TE1","5","40","10.9","6.7"
"9",3,"Lamar Miller",FA,"RB3","2","33","11.2","5.5"
"10",3,"Allen Robinson II",LAR,"WR6","5","21","11.8","3.8"
"11",3,"Adrian Peterson",SEA,"RB4","3","36","12.0","5.6"
"12",3,"Ezekiel Elliott",DAL,"RB5","3","36","12.1","6.1"
"13",3,"Keenan Allen",LAC,"WR7","5","27","15.1","4.9"
"14",3,"Brandon Marshall",FA,"WR8","6","39","16.5","5.7"
"15",3,"Mike Evans",TB,"WR9","6","34","17.3","5.0"
"16",3,"Dez Bryant",FA,"WR10","6","34","17.4","6.4"
"17",3,"Devonta Freeman",BAL,"RB6","3","74","17.7","9.7"
"18",4,"Alshon Jeffery",FA,"WR11","9","39","20.5","6.6"
"19",4,"Jordy Nelson",FA,"WR12","9","38","21.2","6.1"
"20",4,"Mark Ingram II",NO,"RB7","8","43","21.7","6.7"
"21",4,"Brandin Cooks",HOU,"WR13","8","44","23.0","6.6"
"22",4,"Amari Cooper",CLE,"WR14","10","44","23.4","6.0"
"23",4,"LeSean McCoy",FA,"RB8","11","41","23.5","7.1"
"24",4,"Le'Veon Bell",FA,"RB9","3","73","17.9","9.4"
"25",4,"Eddie Lacy",FA,"RB10","13","49","28.6","8.3"
"26",4,"Jarvis Landry",FA,"WR15","13","59","29.6","8.0"
"27",4,"T.Y. Hilton",IND,"WR16","8","55","29.9","10.4"
"28",5,"Demaryius Thomas",FA,"WR17","14","50","30.2","8.2"
"29",5,"Sammy Watkins",BAL,"WR18","13","69","30.3","11.4"
"30",5,"Doug Martin",FA,"RB11","14","62","31.4","8.9"
"31",5,"Randall Cobb",GB,"WR19","14","51","34.6","9.1"
"32",5,"C.J. Anderson",FA,"RB12","16","86","35.0","11.7"
"33",5,"Jordan Reed",FA,"TE2","24","66","37.9","7.0"
"34",5,"Julian Edelman",FA,"WR20","19","69","38.3","11.7"
"35",5,"Jeremy Maclin",FA,"WR21","24","64","38.4","9.0"
"36",5,"Golden Tate",FA,"WR22","22","70","40.3","10.4"
"37",5,"Jamaal Charles",FA,"RB13","8","142","36.4","19.8"
"38",5,"Latavius Murray",BAL,"RB14","16","92","42.1","13.0"
"39",5,"Matt Forte",FA,"RB15","23","91","43.5","12.1"
"40",6,"Eric Decker",FA,"WR23","24","69","44.9","8.6"
"41",6,"Donte Moncrief",FA,"WR24","20","83","45.8","13.1"
"42",6,"Carlos Hyde",FA,"RB16","22","96","47.2","14.2"
"43",6,"Cam Newton",FA,"QB1","23","199","42.9","25.7"
"44",6,"Greg Olsen",FA,"TE3","32","65","48.3","7.4"
"45",6,"Aaron Rodgers",GB,"QB2","28","198","40.9","20.0"
"46",6,"Doug Baldwin",FA,"WR25","29","75","50.9","9.7"
"47",6,"DeMarco Murray",FA,"RB17","27","104","51.4","17.4"
"48",6,"Danny Woodhead",FA,"RB18","17","86","52.7","15.4"
"49",6,"Larry Fitzgerald",FA,"WR26","30","84","55.2","11.7"
"50",6,"Giovani Bernard",TB,"RB19","31","82","55.5","11.6"
"51",6,"Michael Floyd",FA,"WR27","25","102","56.5","14.8"
"52",6,"Travis Kelce",KC,"TE4","36","89","56.8","12.8"
"53",6,"Jordan Matthews",SF,"WR28","27","89","58.2","12.5"
"54",6,"Russell Wilson",DEN,"QB3","31","201","51.7","19.1"
"55",6,"Thomas Rawls",FA,"RB20","30","117","59.6","19.6"
"56",6,"Delanie Walker",FA,"TE5","31","94","59.9","12.6"
"57",7,"Duke Johnson Jr.",BUF,"RB21","35","96","60.3","14.9"
"58",7,"Jeremy Hill",FA,"RB22","38","111","60.6","17.6"
"59",7,"Jeremy Langford",FA,"RB23","26","97","60.9","14.7"
"60",7,"Ryan Mathews",FA,"RB24","32","128","61.9","18.0"
"61",7,"Marvin Jones Jr.",JAC,"WR29","25","116","62.2","17.8"
"62",7,"Andrew Luck",FA,"QB4","30","200","56.4","19.6"
"63",7,"Kelvin Benjamin",FA,"WR30","24","115","64.3","17.4"
"64",7,"Emmanuel Sanders",BUF,"WR31","44","100","65.9","12.1"
"65",7,"Drew Brees",FA,"QB5","38","204","61.2","19.4"
"66",7,"Melvin Gordon III",FA,"RB25","25","105","69.4","17.4"
"67",7,"Jonathan Stewart",FA,"RB26","38","105","71.0","16.4"
"68",7,"Michael Crabtree",FA,"WR32","43","113","71.2","12.7"
"69",7,"Coby Fleener",FA,"TE6","39","144","71.4","18.1"
"70",7,"John Brown",FA,"WR33","47","112","72.0","12.9"
"71",7,"Arian Foster",FA,"RB27","32","121","73.4","19.8"
"72",7,"Frank Gore",FA,"RB28","36","122","73.7","18.8"
"73",7,"Tyler Lockett",SEA,"WR34","44","126","75.8","15.8"
"74",7,"Allen Hurns",FA,"WR35","46","138","76.7","15.6"
"75",8,"DeSean Jackson",LV,"WR36","48","120","80.8","16.0"
