"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"1",1,"Saquon Barkley",NYG,"RB1","1","8","1.9","1.2"
"2",1,"Christian McCaffrey",CAR,"RB2","1","13","2.8","1.6"
"3",1,"Alvin Kamara",NO,"RB3","1","8","3.4","1.5"
"4",1,"Ezekiel Elliott",DAL,"RB4","1","37","4.4","4.7"
"5",1,"Davante Adams",LV,"WR1","4","15","6.0","2.5"
"6",2,"DeAndre Hopkins",ARI,"WR2","4","17","6.2","1.8"
"7",2,"Julio Jones",FA,"WR3","4","19","9.1","3.0"
"8",2,"David Johnson",HOU,"RB5","1","32","10.0","4.6"
"9",2,"Travis Kelce",KC,"TE1","8","25","10.2","3.0"
"10",2,"Michael Thomas",NO,"WR4","4","19","10.4","3.0"
"11",2,"Odell Beckham Jr.",FA,"WR5","4","26","11.7","4.1"
"12",2,"JuJu Smith-Schuster",KC,"WR6","4","24","11.9","4.0"
"13",3,"James Conner",ARI,"RB6","3","40","13.4","5.0"
"14",3,"Le'Veon Bell",FA,"RB7","5","33","14.4","4.5"
"15",3,"Nick Chubb",CLE,"RB8","5","51","16.9","5.6"
"16",3,"Dalvin Cook",MIN,"RB9","7","41","17.1","5.5"
"17",3,"Mike Evans",TB,"WR7","10","28","18.6","3.6"
"18",3,"Joe Mixon",CIN,"RB10","7","37","19.3","5.6"
"19",3,"Todd Gurley II",FA,"RB11","1","41","20.4","7.7"
"20",3,"Keenan Allen",LAC,"WR8","12","32","20.6","4.2"
"21",3,"Tyreek Hill",MIA,"WR9","6","243","19.5","24.1"
"22",4,"Adam Thielen",MIN,"WR10","12","44","24.9","5.3"
"23",4,"Stefon Diggs",BUF,"WR11","17","53","27.2","5.5"
"24",4,"George Kittle",SF,"TE2","9","52","27.8","7.7"
"25",4,"Kerryon Johnson",FA,"RB12","15","57","28.3","8.1"
"26",4,"Amari Cooper",CLE,"WR12","17","54","29.1","6.8"
"27",4,"Leonard Fournette",TB,"RB13","14","52","29.4","7.6"
"28",4,"Aaron Jones",GB,"RB14","14","54","31.3","7.7"
"29",4,"Zach Ertz",ARI,"TE3","15","53","32.6","7.5"
"30",4,"Julian Edelman",FA,"WR13","18","63","33.4","8.6"
"31",4,"Devonta Freeman",BAL,"RB15","15","64","33.4","8.7"
"32",4,"Brandin Cooks",HOU,"WR14","22","66","33.5","7.4"
"33",4,"Robert Woods",TEN,"WR15","22","58","35.2","7.5"
"34",4,"Chris Godwin",TB,"WR16","17","78","38.2","10.2"
"35",4,"Chris Carson",SEA,"RB16","19","89","38.4","11.3"
"36",5,"Patrick Mahomes II",KC,"QB1","24","62","39.8","9.0"
"37",5,"Antonio Brown",FA,"WR17","11","139","40.2","26.3"
