"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"1",1,"Le'Veon Bell",FA,"RB1","1","10","2.3","1.9"
"2",1,"Jamaal Charles",FA,"RB2","1","15","4.3","3.1"
"3",1,"Adrian Peterson",SEA,"RB3","1","14","4.5","3.8"
"4",1,"Antonio Brown",FA,"WR1","1","13","4.5","2.3"
"5",1,"Eddie Lacy",FA,"RB4","1","15","5.3","3.2"
"6",2,"Julio Jones",FA,"WR2","2","24","7.6","3.0"
"7",2,"Demaryius Thomas",FA,"WR3","4","26","9.3","3.5"
"8",2,"Dez Bryant",FA,"WR4","3","23","9.7","4.0"
"9",2,"Rob Gronkowski",FA,"TE1","4","20","10.0","4.4"
"10",2,"Odell Beckham Jr.",FA,"WR5","5","24","11.3","4.2"
"11",2,"Matt Forte",FA,"RB5","1","31","11.8","7.4"
"12",3,"C.J. Anderson",FA,"RB6","1","32","12.2","5.0"
"13",3,"Marshawn Lynch",FA,"RB7","3","25","13.2","4.0"
"14",3,"A.J. Green",ARI,"WR6","7","22","14.3","3.3"
"15",3,"Calvin Johnson",FA,"WR7","6","25","14.5","4.0"
"16",3,"Randall Cobb",GB,"WR8","4","26","16.0","4.3"
"17",3,"Justin Forsett",FA,"RB8","3","44","18.2","7.5"
"18",3,"Jeremy Hill",FA,"RB9","6","38","19.2","5.4"
"19",3,"DeMarco Murray",FA,"RB10","3","41","19.8","6.1"
"20",4,"Alshon Jeffery",FA,"WR9","9","54","22.8","8.6"
"21",4,"T.Y. Hilton",IND,"WR10","14","62","24.5","7.1"
"22",4,"Brandin Cooks",HOU,"WR11","9","51","24.7","7.6"
"23",4,"LeSean McCoy",FA,"RB11","3","44","25.0","7.8"
"24",4,"Lamar Miller",FA,"RB12","8","55","25.2","8.1"
"25",4,"DeAndre Hopkins",ARI,"WR12","10","73","27.3","8.8"
"26",4,"Andrew Luck",FA,"QB1","17","48","27.6","4.1"
"27",4,"Mike Evans",TB,"WR13","10","50","26.4","8.8"
"28",4,"Aaron Rodgers",GB,"QB2","22","50","29.2","4.5"
"29",4,"Frank Gore",FA,"RB13","14","51","29.6","8.2"
"30",4,"Jordan Matthews",SF,"WR14","14","58","31.4","9.7"
"31",5,"Mark Ingram II",NO,"RB14","17","54","35.8","7.0"
"32",5,"Emmanuel Sanders",BUF,"WR15","18","82","37.2","12.0"
"33",5,"Julian Edelman",FA,"WR16","20","91","39.1","11.7"
"34",5,"Andre Ellington",FA,"RB15","14","136","39.3","18.4"
"35",5,"Andre Johnson",FA,"WR17","21","101","40.3","11.8"
"36",5,"Latavius Murray",BAL,"RB16","20","110","42.3","14.2"
"37",5,"Jonathan Stewart",FA,"RB17","23","94","42.9","13.4"
"38",5,"Keenan Allen",LAC,"WR18","28","109","44.3","12.8"
"39",5,"C.J. Spiller",FA,"RB18","13","109","44.5","17.3"
"40",5,"Ameer Abdullah",CAR,"RB19","14","84","43.8","13.4"
"41",5,"Jimmy Graham",CHI,"TE2","24","88","46.2","13.9"
"42",5,"Jarvis Landry",FA,"WR19","19","96","47.0","12.4"
"43",5,"Golden Tate",FA,"WR20","25","73","47.2","11.2"
"44",5,"Amari Cooper",CLE,"WR21","26","111","45.9","13.2"
"45",5,"Brandon Marshall",FA,"WR22","25","124","48.2","12.9"
"46",6,"Melvin Gordon III",FA,"RB20","22","97","49.6","15.5"
"47",6,"Alfred Morris",FA,"RB21","25","91","50.2","14.0"
"48",6,"Greg Olsen",FA,"TE3","26","83","50.6","11.1"
"49",6,"Jeremy Maclin",FA,"WR23","23","87","53.2","11.9"
"50",6,"Carlos Hyde",FA,"RB22","32","111","53.7","14.9"
"51",6,"Russell Wilson",DEN,"QB3","28","105","54.2","13.4"
"52",6,"Allen Robinson II",LAR,"WR24","29","84","53.4","10.9"
"53",6,"Travis Kelce",KC,"TE4","28","113","55.8","14.4"
"54",6,"Peyton Manning",FA,"QB4","28","113","56.1","12.3"
"55",6,"Davante Adams",LV,"WR25","25","161","56.7","23.1"
"56",6,"Drew Brees",FA,"QB5","33","97","56.0","10.1"
"57",6,"T.J. Yeldon",FA,"RB23","32","114","59.1","18.4"
"58",6,"Giovani Bernard",TB,"RB24","15","111","60.1","18.8"
"59",6,"Chris Ivory",FA,"RB25","26","112","61.5","22.6"
"60",6,"Doug Martin",FA,"RB26","26","148","59.7","20.3"
"61",6,"Arian Foster",FA,"RB27","6","165","60.3","29.9"
"62",6,"Sammy Watkins",BAL,"WR26","39","129","64.3","15.1"
"63",6,"Ben Roethlisberger",FA,"QB6","43","105","62.6","13.2"
"64",7,"DeSean Jackson",LV,"WR27","37","127","67.4","16.3"
"65",7,"Vincent Jackson",FA,"WR28","40","126","67.5","13.2"
"66",7,"Martellus Bennett",FA,"TE5","42","99","68.8","12.8"
"67",7,"Steve Smith",FA,"WR29","43","128","71.8","13.0"
"68",7,"Larry Fitzgerald",FA,"WR30","48","156","72.2","18.8"
"69",7,"Anquan Boldin",FA,"WR31","46","147","74.8","18.2"
"70",7,"Roddy White",FA,"WR32","43","130","75.2","16.8"
"71",7,"Matt Ryan",IND,"QB7","48","105","73.6","12.1"
"72",7,"Eric Decker",FA,"WR33","45","138","76.3","18.0"
"73",7,"LeGarrette Blount",FA,"RB28","37","131","78.1","18.0"
"74",7,"Tony Romo",FA,"QB8","49","149","76.6","14.9"
"75",7,"Todd Gurley II",FA,"RB29","38","162","77.9","22.5"
"76",7,"Tom Brady",TB,"QB9","45","152","77.6","21.0"
"77",7,"Joseph Randle",FA,"RB30","32","180","79.3","25.1"
"78",7,"Charles Johnson",FA,"WR34","47","178","81.5","20.9"
