"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV"
"1",1,"Christian McCaffrey",CAR,"RB1","1","3","1.1","0.3"
"2",1,"Saquon Barkley",NYG,"RB2","1","6","2.4","0.8"
"3",1,"Ezekiel Elliott",DAL,"RB3","2","40","3.4","2.9"
"4",1,"Alvin Kamara",NO,"RB4","2","14","4.3","1.8"
"5",1,"Michael Thomas",NO,"WR1","3","13","5.5","1.6"
"6",2,"Dalvin Cook",MIN,"RB5","2","28","7.2","3.9"
"7",2,"Davante Adams",LV,"WR2","3","25","9.4","2.7"
"8",2,"Derrick Henry",TEN,"RB6","4","31","11.2","7.6"
"9",2,"Julio Jones",FA,"WR3","5","24","11.5","2.3"
"10",2,"Tyreek Hill",MIA,"WR4","8","37","12.4","2.8"
"11",2,"Clyde Edwards-Helaire",KC,"RB7","4","59","13.0","8.0"
"12",2,"Austin Ekeler",LAC,"RB8","4","52","13.3","8.1"
"13",3,"DeAndre Hopkins",ARI,"WR5","9","48","15.8","6.1"
"14",3,"Joe Mixon",CIN,"RB9","4","44","16.7","7.2"
"15",3,"Chris Godwin",TB,"WR6","11","63","16.9","6.3"
"16",3,"Travis Kelce",KC,"TE1","11","26","17.4","1.3"
"17",3,"Kenyan Drake",LV,"RB10","6","57","17.7","9.1"
"18",3,"Miles Sanders",PHI,"RB11","6","52","17.8","7.9"
"19",3,"George Kittle",SF,"TE2","12","46","18.4","2.8"
"20",3,"Josh Jacobs",LV,"RB12","6","66","22.4","7.7"
"21",3,"Allen Robinson II",LAR,"WR7","13","62","22.6","7.7"
"22",3,"Aaron Jones",GB,"RB13","8","58","23.4","7.4"
"23",4,"Kenny Golladay",NYG,"WR8","12","93","24.4","9.1"
"24",4,"Nick Chubb",CLE,"RB14","7","51","25.8","6.5"
"25",4,"Patrick Mahomes II",KC,"QB1","19","54","26.3","9.2"
"26",4,"DJ Moore",CAR,"WR9","10","99","27.3","9.4"
"27",4,"JuJu Smith-Schuster",KC,"WR10","13","62","29.6","8.3"
"28",4,"Mike Evans",TB,"WR11","13","67","31.3","8.6"
"29",4,"Adam Thielen",MIN,"WR12","13","82","31.4","10.1"
"30",4,"Lamar Jackson",BAL,"QB2","13","61","32.5","10.5"
"31",4,"Odell Beckham Jr.",FA,"WR13","12","67","33.0","8.2"
"32",4,"Robert Woods",TEN,"WR14","15","81","34.2","10.0"
"33",4,"Amari Cooper",CLE,"WR15","16","65","35.4","7.2"
"34",4,"Mark Andrews",BAL,"TE3","18","121","36.7","14.3"
"35",4,"James Conner",ARI,"RB15","10","83","36.8","11.0"
"36",5,"Cooper Kupp",LAR,"WR16","15","80","35.8","9.4"
"37",5,"Calvin Ridley",ATL,"WR17","15","99","37.8","10.0"
"38",5,"Chris Carson",SEA,"RB16","20","98","39.0","10.8"
"39",5,"Todd Gurley II",FA,"RB17","10","104","39.1","11.7"
"40",5,"A.J. Brown",TEN,"WR18","15","67","40.0","8.8"
"41",5,"Zach Ertz",ARI,"TE4","18","65","41.0","10.3"
"42",5,"D.J. Chark Jr.",DET,"WR19","15","97","43.0","10.5"
"43",5,"Keenan Allen",LAC,"WR20","24","75","44.1","10.5"
"44",5,"Terry McLaurin",WAS,"WR21","13","73","44.3","9.7"
"45",5,"Tyler Lockett",SEA,"WR22","24","74","45.8","8.7"
"46",5,"Le'Veon Bell",FA,"RB18","14","83","45.8","11.4"
"47",5,"David Johnson",HOU,"RB19","20","116","46.4","12.9"
"48",5,"Melvin Gordon III",FA,"RB20","16","84","47.1","10.2"
"49",5,"Jonathan Taylor",IND,"RB21","23","132","51.0","16.4"
"50",5,"D.K. Metcalf",SEA,"WR23","25","96","51.1","11.2"
"51",5,"Courtland Sutton",DEN,"WR24","22","137","52.0","13.5"
"52",6,"Dak Prescott",DAL,"QB3","19","90","55.3","7.3"
"53",6,"Darren Waller",LV,"TE5","26","191","56.1","16.5"
"54",6,"DeVante Parker",NE,"WR25","32","124","58.6","13.7"
"55",6,"Mark Ingram II",NO,"RB22","28","119","59.4","15.2"
"56",6,"Russell Wilson",DEN,"QB4","38","87","60.3","6.6"
"57",6,"Kareem Hunt",CLE,"RB23","28","120","60.5","12.2"
"58",6,"T.Y. Hilton",IND,"WR26","24","109","58.9","11.4"
"59",6,"Deshaun Watson",CLE,"QB5","38","95","62.9","8.0"
"60",6,"Kyler Murray",ARI,"QB6","38","114","64.0","10.6"
"61",6,"Stefon Diggs",BUF,"WR27","36","111","62.7","10.9"
"62",6,"Tyler Boyd",CIN,"WR28","29","201","64.6","16.3"
"63",6,"Jarvis Landry",FA,"WR29","25","101","67.0","11.7"
"64",6,"Michael Gallup",DAL,"WR30","39","130","68.7","12.6"
"65",6,"Raheem Mostert",MIA,"RB24","34","156","69.8","18.2"
"66",6,"Cam Akers",LAR,"RB25","22","146","69.0","17.9"
"67",6,"Marquise Brown",BAL,"WR31","33","124","69.7","13.5"
"68",6,"Julian Edelman",FA,"WR32","25","184","71.6","16.8"
"69",6,"James White",NE,"RB26","31","200","70.2","19.0"
"70",6,"Evan Engram",JAC,"TE6","26","136","72.5","18.7"
"71",6,"A.J. Green",ARI,"WR33","29","214","73.6","17.4"
"72",6,"Leonard Fournette",TB,"RB27","9","143","71.5","26.7"
"73",6,"Devin Singletary",BUF,"RB28","41","143","75.1","15.3"
"74",7,"William Fuller V",FA,"WR34","38","194","78.3","19.5"
"75",7,"Tarik Cohen",FA,"RB29","44","177","77.1","21.8"
"76",7,"David Montgomery",CHI,"RB30","44","190","77.2","21.2"
"77",7,"Matt Ryan",IND,"QB7","54","120","79.5","11.9"
"78",7,"Josh Allen",BUF,"QB8","47","123","79.7","13.0"
"79",7,"Marvin Jones Jr.",JAC,"WR35","50","143","79.9","11.9"
"80",7,"D'Andre Swift",DET,"RB31","40","134","80.7","16.6"
"81",7,"Tyler Higbee",LAR,"TE7","39","232","83.6","27.6"
"82",7,"Hunter Henry",NE,"TE8","46","142","84.7","18.6"
"83",7,"Brandin Cooks",HOU,"WR36","42","181","88.0","20.4"
"84",7,"Diontae Johnson",PIT,"WR37","46","169","89.8","18.9"
"85",7,"Jamison Crowder",BUF,"WR38","49","220","88.4","20.8"
"86",7,"Carson Wentz",WAS,"QB9","51","150","91.8","15.0"
"87",7,"Drew Brees",FA,"QB10","56","133","92.1","13.5"
"88",7,"Hayden Hurst",CIN,"TE9","53","242","89.8","26.0"
"89",7,"Antonio Gibson",WAS,"RB32","40","273","88.0","42.4"
"90",7,"Christian Kirk",JAC,"WR39","45","207","93.5","19.9"
"91",7,"Tom Brady",TB,"QB11","39","151","96.0","16.3"
"92",7,"Phillip Lindsay",MIA,"RB33","49","225","98.0","20.0"
"93",7,"Sterling Shepard",NYG,"WR40","58","212","98.5","20.3"
"94",7,"Matthew Stafford",LAR,"QB12","52","150","101.6","14.0"
"95",7,"J.K. Dobbins",BAL,"RB34","47","187","100.9","22.0"
"96",7,"Jordan Howard",PHI,"RB35","57","175","101.0","15.8"
"97",8,"Deebo Samuel",SF,"WR41","45","283","100.9","29.7"
"98",8,"Aaron Rodgers",GB,"QB13","56","165","106.8","17.3"
"99",8,"Matt Breida",NYG,"RB36","59","168","104.0","18.0"
"100",8,"CeeDee Lamb",DAL,"WR42","64","195","105.7","23.4"
"101",8,"John Brown",FA,"WR43","72","174","105.8","18.7"
"102",8,"Emmanuel Sanders",BUF,"WR44","73","196","109.2","20.8"
"103",8,"Zack Moss",BUF,"RB37","51","186","106.3","22.8"
"104",8,"Ronald Jones II",KC,"RB38","51","298","107.9","27.1"
"105",8,"Darius Slayton",NYG,"WR45","36","206","109.8","22.0"
"106",8,"Anthony Miller",PIT,"WR46","73","206","110.5","22.9"
"107",8,"Mike Gesicki",MIA,"TE10","53","209","113.7","25.7"
"108",8,"Preston Williams",MIA,"WR47","49","208","112.5","23.6"
"109",8,"Jared Cook",LAC,"TE11","53","232","114.5","25.1"
"110",8,"Austin Hooper",TEN,"TE12","63","207","115.7","22.3"
"111",8,"Cam Newton",FA,"QB14","61","381","118.9","38.0"
"112",8,"Daniel Jones",NYG,"QB15","61","197","119.5","21.2"
"113",8,"Jerry Jeudy",DEN,"WR48","58","293","117.1","26.6"
"114",8,"Latavius Murray",BAL,"RB39","76","218","117.8","18.1"
"115",8,"Ben Roethlisberger",FA,"QB16","78","179","121.1","16.9"
"116",8,"Rob Gronkowski",FA,"TE13","53","236","116.3","27.3"
"117",8,"Marlon Mack",HOU,"RB40","72","272","120.9","26.1"
"118",8,"Tevin Coleman",NYJ,"RB41","83","185","119.1","17.1"
"119",8,"Jared Goff",DET,"QB17","72","197","123.3","18.3"
"120",8,"Henry Ruggs III",FA,"WR49","74","363","122.2","35.7"
"121",8,"T.J. Hockenson",DET,"TE14","69","260","124.1","26.4"
"122",8,"Golden Tate",FA,"WR50","72","243","123.7","24.0"
"123",8,"Kerryon Johnson",FA,"RB42","71","224","122.5","23.1"
"124",8,"Noah Fant",SEA,"TE15","67","182","126.6","19.4"
"125",8,"Sony Michel",LAR,"RB43","80","237","129.9","24.7"
"126",8,"Dallas Goedert",PHI,"TE16","69","267","130.6","23.2"
"127",8,"Jonnu Smith",NE,"TE17","63","203","130.5","23.1"
"128",8,"Ryan Tannehill",TEN,"QB18","83","184","135.9","20.9"
"129",8,"Baker Mayfield",CLE,"QB19","87","254","134.8","22.7"
"130",8,"Duke Johnson Jr.",BUF,"RB44","66","255","128.6","25.6"
