rank,pos,first,last,team,bye
1,(RB1),David,Johnson,ARI,8
2,(RB2),Le'Veon,Bell,PIT,9
3,(WR1),Antonio,Brown,PIT,9
4,(RB3),Ezekiel,Elliott,DAL,6
5,(WR2),Odell,Beckham Jr.,NYG,8
6,(WR3),Julio,Jones,ATL,5
7,(WR4),Jordy,Nelson,GB,8
8,(WR5),Mike,Evans,TB,1
9,(RB4),LeSean,McCoy,BUF,6
10,(WR6),A.J.,Green,CIN,6
11,(WR7),Michael,Thomas,NO,5
12,(RB5),Devonta,Freeman,ATL,5
13,(RB6),Melvin,Gordon,LAC,9
14,(WR8),Brandin,Cooks,NE,9
15,(RB7),Jordan,Howard,CHI,9
16,(RB8),DeMarco,Murray,TEN,8
17,(WR9),Doug,Baldwin,SEA,6
18,(RB9),Jay,Ajayi,MIA,1
19,(RB10),Todd,Gurley,LAR,8
20,(WR10),Amari,Cooper,OAK,10
21,(WR11),T.Y.,Hilton,IND,11
22,(TE1),Rob,Gronkowski,NE,9
23,(WR12),Dez,Bryant,DAL,6
24,(RB11),Leonard,Fournette,JAC,8
25,(WR13),Demaryius,Thomas,DEN,5
26,(WR14),Terrelle,Pryor Sr.,WAS,5
27,(RB12),Lamar,Miller,HOU,7
28,(WR15),DeAndre,Hopkins,HOU,7
29,(WR16),Alshon,Jeffery,PHI,10
30,(RB13),Isaiah,Crowell,CLE,9
31,(WR17),Michael,Crabtree,OAK,10
32,(RB14),Kareem,Hunt,KC,10
33,(WR18),Keenan,Allen,LAC,9
34,(WR19),Golden,Tate,DET,7
35,(RB15),Christian,McCaffrey,CAR,11
36,(RB16),Carlos,Hyde,SF,11
37,(WR20),Larry,Fitzgerald,ARI,8
38,(RB17),Marshawn,Lynch,OAK,10
39,(RB18),Ty,Montgomery,GB,8
40,(TE2),Jordan,Reed,WAS,5
41,(RB19),Dalvin,Cook,MIN,9
42,(WR21),Davante,Adams,GB,8
43,(WR22),Emmanuel,Sanders,DEN,5
44,(QB1),Tom,Brady,NE,9
45,(QB2),Aaron,Rodgers,GB,8
46,(WR23),Jarvis,Landry,MIA,1
47,(WR24),Kelvin,Benjamin,CAR,11
48,(TE3),Travis,Kelce,KC,10
49,(WR25),Jamison,Crowder,WAS,5
50,(RB20),Bilal,Powell,NYJ,11
51,(RB21),Danny,Woodhead,BAL,10
52,(WR26),Allen,Robinson,JAC,8
53,(WR27),Tyreek,Hill,KC,10
54,(RB22),Joe,Mixon,CIN,6
55,(TE4),Greg,Olsen,CAR,11
56,(WR28),Sammy,Watkins,LAR,8
57,(QB3),Drew,Brees,NO,5
58,(WR29),Martavis,Bryant,PIT,9
59,(WR30),Pierre,Garcon,SF,11
60,(WR31),Stefon,Diggs,MIN,9
61,(RB23),Mark,Ingram,NO,5
62,(RB24),Frank,Gore,IND,11
63,(WR32),Brandon,Marshall,NYG,8
64,(WR33),DeVante,Parker,MIA,1
65,(RB25),Theo,Riddick,DET,7
66,(RB26),Adrian,Peterson,NO,5
67,(QB4),Matt,Ryan,ATL,5
68,(RB27),C.J.,Anderson,DEN,5
69,(RB28),Rob,Kelley,WAS,5
70,(RB29),Ameer,Abdullah,DET,7
71,(WR34),Jeremy,Maclin,BAL,10
72,(RB30),Paul,Perkins,NYG,8
73,(RB31),Mike,Gillislee,NE,9
74,(WR35),Eric,Decker,TEN,8
75,(WR36),DeSean,Jackson,TB,1
76,(RB32),Terrance,West,BAL,10
77,(RB33),Duke,Johnson Jr.,CLE,9
78,(TE5),Jimmy,Graham,SEA,6
79,(QB5),Russell,Wilson,SEA,6
80,(WR37),Mike,Wallace,BAL,10
81,(WR38),Adam,Thielen,MIN,9
82,(RB34),Tevin,Coleman,ATL,5
83,(WR39),Donte,Moncrief,IND,11
84,(WR40),Kenny,Britt,CLE,9
85,(RB35),Matt,Forte,NYJ,11
86,(WR41),Chris,Hogan,NE,9
