rank,pos,first,last,team,bye
70,(WR33),Randall,Cobb,GB,7
71,(WR34),Devin,Funchess,CAR,4
72,(WR35),Pierre,Garcon,SF,11
73,(RB30),Chris,Thompson,WAS,4
74,(RB31),Carlos,Hyde,CLE,11
75,(TE7),Jimmy,Graham,GB,7
76,(WR36),Will,Fuller V,HOU,10
77,(WR37),Robby,Anderson,NYJ,11
78,(QB3),Cam,Newton,CAR,4
79,(QB4),Carson,Wentz,PHI,9
80,(QB5),Russell,Wilson,SEA,7
81,(QB6),Deshaun,Watson,HOU,10
82,(WR38),Cooper,Kupp,LAR,12
83,(WR39),Jamison,Crowder,WAS,4
84,(WR40),Julian,Edelman,NE,11
85,(RB32),Chris,Carson,SEA,7
86,(RB33),Tarik,Cohen,CHI,5
87,(RB34),Kerryon,Johnson,DET,6
88,(RB35),Rashaad,Penny,SEA,7
89,(RB36),Ronald,Jones II,TB,5
90,(TE8),Jordan,Reed,WAS,4
91,(QB7),Andrew,Luck,IND,9
92,(WR41),Kelvin,Benjamin,BUF,11
93,(WR42),Sterling,Shepard,NYG,9
94,(WR43),Josh,Doctson,WAS,4
95,(WR44),DeVante,Parker,MIA,11
96,(RB37),Sony,Michel,NE,11
97,(RB38),Jamaal,Williams,GB,7
98,(RB39),James,White,NE,11
99,(RB40),Peyton,Barber,TB,5
100,(TE9),Kyle,Rudolph,MIN,10
101,(WR45),Jordy,Nelson,OAK,7
102,(WR46),Kenny,Stills,MIA,11
103,(WR47),Nelson,Agholor,PHI,9
104,(WR48),Allen,Hurns,DAL,8
105,(WR49),Paul,Richardson,WAS,4
106,(WR50),Kenny,Golladay,DET,6
107,(WR51),Keelan,Cole,JAC,9
108,(WR52),Cameron,Meredith,NO,6
109,(WR53),Mohamed,Sanu,ATL,8
110,(WR54),Tyler,Lockett,SEA,7
111,(WR55),Danny,Amendola,MIA,11
112,(WR56),Michael,Gallup,DAL,8
113,(WR57),DeSean,Jackson,TB,5
114,(WR58),Rishard,Matthews,TEN,8
115,(WR59),DJ,Moore,CAR,4
116,(QB8),Ben,Roethlisberger,PIT,7
117,(QB9),Kirk,Cousins,MIN,10
118,(TE10),Jack,Doyle,IND,9
119,(TE11),Trey,Burton,CHI,5
120,(TE12),David,Njoku,CLE,11
121,(RB41),Adrian,Peterson,WAS,4
122,(RB42),Ty,Montgomery,GB,7
123,(RB43),Giovani,Bernard,CIN,9
124,(RB44),Marlon,Mack,IND,9
125,(RB45),Theo,Riddick,DET,6
126,(QB10),Matthew,Stafford,DET,6
127,(QB11),Drew,Brees,NO,6
128,(QB12),Matt,Ryan,ATL,8
129,(WR60),Chris,Godwin,TB,5
130,(WR61),John,Ross,CIN,9
131,(WR62),Calvin,Ridley,ATL,8
132,(WR63),James,Washington,PIT,7
133,(QB13),Patrick,Mahomes,KC,12
134,(QB14),Philip,Rivers,LAC,8
135,(QB15),Jimmy,Garoppolo,SF,11
136,(QB16),Alex,Smith,WAS,4
137,(WR64),John,Brown,BAL,10
138,(WR65),Anthony,Miller,CHI,5
139,(WR66),Courtland,Sutton,DEN,10
140,(WR67),Mike,Williams,LAC,8
141,(WR68),Donte,Moncrief,JAC,9
142,(RB46),Jordan,Wilkins,IND,9
143,(RB47),Jeremy,Hill,NE,11
144,(RB48),Devontae,Booker,DEN,10
145,(TE13),Charles,Clay,BUF,11
146,(TE14),Tyler,Eifert,CIN,9
147,(RB49),Aaron,Jones,GB,7
148,(RB50),Doug,Martin,OAK,7
149,(RB51),Matt,Breida,SF,11
150,(QB17),Marcus,Mariota,TEN,8
151,(QB18),Dak,Prescott,DAL,8
152,(QB19),Jared,Goff,LAR,12
153,(DST1),Jaguars,D/ST,JAC,9
154,(RB52),Bilal,Powell,NYJ,11
155,(RB53),Latavius,Murray,MIN,10
156,(RB54),Corey,Clement,PHI,9
157,(RB55),Nyheim,Hines,IND,9
158,(WR69),Dez,Bryant,FA,0
159,(WR70),Mike,Wallace,PHI,9
160,(WR71),Ryan,Grant,IND,9
161,(TE15),George,Kittle,SF,11
162,(WR72),Quincy,Enunwa,NYJ,11
163,(QB20),Tyrod,Taylor,CLE,11
164,(RB56),C.J.,Anderson,CAR,4
165,(RB57),Kenneth,Dixon,BAL,10
166,(WR73),Christian,Kirk,ARI,9
167,(WR74),Taywan,Taylor,TEN,8
168,(TE16),Cameron,Brate,TB,5
169,(TE17),Benjamin,Watson,NO,6
170,(DST2),Eagles,D/ST,PHI,9
171,(DST3),Rams,D/ST,LAR,12
172,(DST4),Vikings,D/ST,MIN,10
173,(DST5),Texans,D/ST,BAL,10
174,(DST6),Ravens,D/ST,HOU,10
175,(K1),Greg,Zuerlein,LAR,12
176,(K2),Stephen,Gostkowski,NE,11
177,(K3),Justin,Tucker,BAL,10
178,(DST7),Patriots,D/ST,NE,11
179,(DST8),Chargers,D/ST,LAC,8
180,(DST9),Broncos,D/ST,DEN,10
181,(DST10),Saints,D/ST,NO,6
182,(DST11),Titans,D/ST,TEN,8
183,(DST12),Panthers,D/ST,CAR,4
184,(K4),Matt,Bryant,ATL,8
185,(K5),Wil,Lutz,NO,6
186,(K6),Chris,Boswell,PIT,7
187,(K7),Robbie,Gould,SF,11
188,(K8),Jake,Elliott,PHI,9
189,(K9),Matt,Prater,DET,6
190,(K10),Harrison,Butker,KC,12
191,(K11),Adam,Vinatieri,IND,9
192,(K12),Graham,Gano,CAR,4
193,(RB58),Nick,Chubb,CLE,11
194,(RB59),Rob,Kelley,WAS,4
195,(RB60),Samaje,Perine,WAS,4
196,(TE18),Austin,Seferian-Jenkins,JAC,9
197,(TE19),Vance,McDonald,PIT,7
198,(TE20),Austin,Hooper,ATL,8
199,(RB61),Christine,Michael,IND,9
200,(RB62),Javorius,Allen,BAL,10
201,(RB63),LeGarrette,Blount,DET,6
202,(RB64),Darren,Sproles,PHI,9
203,(RB65),Chase,Edmonds,ARI,9
204,(RB66),Chris,Ivory,BUF,11
205,(RB67),Austin,Ekeler,LAC,8
206,(RB68),T.J.,Yeldon,JAC,9
207,(RB69),Spencer,Ware,KC,12
208,(RB70),Elijah,McGuire,NYJ,11
209,(RB71),James,Conner,PIT,7
210,(TE21),O.J.,Howard,TB,5
211,(TE22),Jared,Cook,OAK,7
212,(QB21),Mitchell,Trubisky,CHI,5
213,(WR75),Cole,Beasley,DAL,8
214,(WR76),Ted,Ginn Jr.,NO,6
215,(WR77),Martavis,Bryant,OAK,7
216,(WR78),Tyler,Boyd,CIN,9
217,(WR79),Albert,Wilson,MIA,11
218,(WR80),Willie,Snead,BAL,10
219,(QB22),Andy,Dalton,CIN,9
220,(QB23),Ryan,Tannehill,MIA,11
221,(DST13),Redskins,D/ST,WAS,4
222,(DST14),Cardinals,D/ST,ARI,9
223,(K13),Dan,Bailey,DAL,8
224,(K14),Ryan,Succop,TEN,8
225,(WR81),Dede,Westbrook,JAC,9
226,(WR82),Tyrell,Williams,LAC,8
227,(WR83),Terrance,Williams,DAL,8
228,(WR84),Brandon,Marshall,SEA,7
229,(WR85),Travis,Benjamin,LAC,8
230,(WR86),Corey,Coleman,BUF,11
231,(WR87),Jermaine,Kearse,NYJ,11
232,(WR88),Geronimo,Allison,GB,7
233,(WR89),Terrelle,Pryor Sr.,NYJ,11
234,(WR90),Antonio,Callaway,CLE,11
235,(RB72),D'Onta,Foreman,HOU,10
236,(RB73),Frank,Gore,MIA,11
237,(RB74),Jonathan,Stewart,NYG,9
238,(RB75),Wayne,Gallman,NYG,9
239,(RB76),Rod,Smith,DAL,8
240,(RB77),John,Kelly,LAR,12
241,(RB78),Jonathan,Williams,NO,6
242,(RB79),Alfred,Blue,HOU,10
243,(QB24),Eli,Manning,NYG,9
244,(QB25),Derek,Carr,OAK,7
245,(QB26),Jameis,Winston,TB,5
246,(TE23),Eric,Ebron,IND,9
247,(TE24),Mike,Gesicki,MIA,11
248,(TE25),Ricky,Seals-Jones,ARI,9
249,(TE26),Hayden,Hurst,BAL,10
250,(RB80),Corey,Grant,JAC,9
251,(WR91),D.J.,Chark,JAC,9
252,(WR92),J'Mon,Moore,GB,7
253,(DST15),Falcons,D/ST,ATL,8
254,(DST16),Cowboys,D/ST,DAL,8
255,(K15),Daniel,Carlson,MIN,10
256,(K16),Mason,Crosby,GB,7
257,(TE27),Ryan,Griffin,HOU,10
258,(TE28),Blake,Jarwin,DAL,8
259,(TE29),Jake,Butt,DEN,10
260,(WR93),Marquez,Valdes-Scantling,GB,7
261,(WR94),Equanimeous,St. Brown,GB,7
262,(WR95),Adam,Humphries,TB,5
263,(WR96),Zay,Jones,BUF,11
264,(RB81),Tavon,Austin,DAL,8
265,(RB82),C.J.,Prosise,SEA,7
266,(QB27),Case,Keenum,DEN,10
267,(QB28),Blake,Bortles,JAC,9
268,(QB29),Joe,Flacco,BAL,10
269,(QB30),Sam,Darnold,NYJ,11
270,(QB31),Sam,Bradford,ARI,9
271,(WR97),Taylor,Gabriel,CHI,5
272,(WR98),Curtis,Samuel,CAR,4
273,(WR99),Trent,Taylor,SF,11
274,(WR100),Laquon,Treadwell,MIN,10
275,(WR101),J.J.,Nelson,ARI,9
276,(RB83),Mark,Walton,CIN,9
277,(RB84),Jacquizz,Rodgers,TB,5
278,(RB85),Joe,Williams,SF,11
279,(RB86),De'Angelo,Henderson,DEN,10
280,(RB87),Kalen,Ballage,MIA,11
281,(RB88),Damien,Williams,KC,12
282,(RB89),T.J.,Logan,ARI,9
283,(RB90),Jalen,Richard,OAK,7
284,(WR102),Keke,Coutee,HOU,10
285,(DST17),Packers,D/ST,GB,7
286,(DST18),Bears,D/ST,CHI,5
287,(K17),Josh,Lambo,JAC,9
288,(K18),Dustin,Hopkins,WAS,4
289,(TE30),Virgil,Green,LAC,8
290,(TE31),Vernon,Davis,WAS,4
291,(TE32),Tyler,Kroft,CIN,9
292,(TE33),Antonio,Gates,FA,0
293,(TE34),Gerald,Everett,LAR,12
294,(WR103),DaeSean,Hamilton,DEN,10
295,(WR104),Tre'Quan,Smith,NO,6
296,(QB32),Josh,Allen,BUF,11
297,(DST19),Lions,D/ST,DET,6
298,(DST20),Bengals,D/ST,CIN,9
299,(DST21),Chiefs,D/ST,KC,12
300,(DST22),Raiders,D/ST,OAK,7
