rank,pos,first,last,team,bye
1,(RB1),Le'Veon,Bell,PIT,7
2,(RB2),Todd,Gurley II,LAR,12
3,(RB3),David,Johnson,ARI,9
4,(RB4),Ezekiel,Elliott,DAL,8
5,(WR1),Antonio,Brown,PIT,7
6,(RB5),Saquon,Barkley,NYG,9
7,(RB6),Alvin,Kamara,NO,6
8,(WR2),Julio,Jones,ATL,8
9,(WR3),DeAndre,Hopkins,HOU,10
10,(WR4),Odell,Beckham Jr.,NYG,9
11,(RB7),Kareem,Hunt,KC,12
12,(RB8),Dalvin,Cook,MIN,10
13,(WR5),Keenan,Allen,LAC,8
14,(RB9),Leonard,Fournette,JAC,9
15,(RB10),Melvin,Gordon,LAC,8
16,(WR6),Michael,Thomas,NO,6
17,(WR7),A.J.,Green,CIN,9
18,(RB11),Christian,McCaffrey,CAR,4
19,(RB12),Devonta,Freeman,ATL,8
20,(WR8),Davante,Adams,GB,7
21,(TE1),Rob,Gronkowski,NE,11
22,(WR9),Mike,Evans,TB,5
23,(RB13),LeSean,McCoy,BUF,11
24,(TE2),Travis,Kelce,KC,12
25,(RB14),Jerick,McKinnon,SF,11
26,(RB15),Joe,Mixon,CIN,9
27,(WR10),Larry,Fitzgerald,ARI,9
28,(WR11),T.Y.,Hilton,IND,9
29,(WR12),Adam,Thielen,MIN,10
30,(WR13),Stefon,Diggs,MIN,10
31,(RB16),Jordan,Howard,CHI,5
32,(TE3),Zach,Ertz,PHI,9
33,(WR14),Tyreek,Hill,KC,12
34,(WR15),Demaryius,Thomas,DEN,10
35,(WR16),Doug,Baldwin,SEA,7
36,(WR17),Allen,Robinson,CHI,5
37,(WR18),Golden,Tate,DET,6
38,(WR19),Amari,Cooper,OAK,7
39,(WR20),Josh,Gordon,CLE,11
40,(WR21),Jarvis,Landry,CLE,11
41,(WR22),Marvin,Jones Jr.,DET,6
42,(RB17),Kenyan,Drake,MIA,11
43,(WR23),Alshon,Jeffery,PHI,9
44,(WR24),Brandin,Cooks,LAR,12
45,(RB18),Royce,Freeman,DEN,10
46,(RB19),Derrick,Henry,TEN,8
47,(RB20),Alex,Collins,BAL,10
48,(RB21),Jay,Ajayi,PHI,9
49,(RB22),Marshawn,Lynch,OAK,7
50,(RB23),Dion,Lewis,TEN,8
51,(RB24),Lamar,Miller,HOU,10
52,(RB25),Mark,Ingram II,NO,6
53,(WR25),Chris,Hogan,NE,11
54,(WR26),JuJu,Smith-Schuster,PIT,7
55,(WR27),Robert,Woods,LAR,12
56,(WR28),Michael,Crabtree,BAL,10
57,(WR29),Emmanuel,Sanders,DEN,10
58,(QB1),Aaron,Rodgers,GB,7
59,(QB2),Tom,Brady,NE,11
60,(RB26),Duke,Johnson Jr.,CLE,11
61,(RB27),Rex,Burkhead,NE,11
62,(RB28),Isaiah,Crowell,NYJ,11
63,(RB29),Tevin,Coleman,ATL,8
64,(TE4),Greg,Olsen,CAR,4
65,(TE5),Delanie,Walker,TEN,8
66,(TE6),Evan,Engram,NYG,9
67,(WR30),Corey,Davis,TEN,8
68,(WR31),Marquise,Goodwin,SF,11
69,(WR32),Sammy,Watkins,KC,12
