rank,pos,first,last,team,bye
1,(RB1),Christian,McCaffrey,CAR,13
2,(RB2),Dalvin,Cook,MIN,7
3,(RB3),Alvin,Kamara,NO,6
4,(RB4),Saquon,Barkley,NYG,10
5,(RB5),Derrick,Henry,TEN,13
6,(TE1),Travis,Kelce,KC,12
7,(WR1),Davante,Adams,GB,13
8,(RB6),Ezekiel,Elliott,DAL,7
9,(RB7),Jonathan,Taylor,IND,14
10,(RB8),Austin,Ekeler,LAC,7
11,(RB9),Aaron,Jones,GB,13
12,(RB10),Nick,Chubb,CLE,13
13,(WR2),Tyreek,Hill,KC,12
14,(RB11),Antonio,Gibson,WAS,9
15,(RB12),Najee,Harris,PIT,7
16,(WR3),Stefon,Diggs,BUF,7
17,(WR4),DeAndre,Hopkins,ARI,12
18,(WR5),Calvin,Ridley,ATL,6
19,(WR6),DK,Metcalf,SEA,9
20,(WR7),A.J.,Brown,TEN,13
21,(WR8),Justin,Jefferson,MIN,7
22,(RB13),Joe,Mixon,CIN,10
23,(RB14),Clyde,Edwards-Helaire,KC,12
24,(TE2),Darren,Waller,LV,8
25,(WR9),Terry,McLaurin,WAS,9
26,(WR10),Keenan,Allen,LAC,7
27,(WR11),Allen,Robinson II,CHI,10
28,(WR12),CeeDee,Lamb,DAL,7
29,(TE3),George,Kittle,SF,6
30,(RB15),David,Montgomery,CHI,10
31,(RB16),James,Robinson,JAC,7
32,(RB17),Miles,Sanders,PHI,14
33,(WR13),Robert,Woods,LAR,11
34,(WR14),Mike,Evans,TB,9
35,(WR15),Amari,Cooper,DAL,7
36,(RB18),D'Andre,Swift,DET,9
37,(RB19),Chris,Carson,SEA,9
38,(WR16),Adam,Thielen,MIN,7
39,(WR17),Tyler,Lockett,SEA,9
40,(WR18),Chris,Godwin,TB,9
41,(WR19),Cooper,Kupp,LAR,11
42,(WR20),Diontae,Johnson,PIT,7
43,(WR21),Julio,Jones,TEN,13
44,(WR22),DJ,Moore,CAR,13
45,(WR23),Brandon,Aiyuk,SF,6
46,(WR24),Tee,Higgins,CIN,10
47,(RB20),Josh,Jacobs,LV,8
48,(RB21),Chase,Edmonds,ARI,12
49,(QB1),Patrick,Mahomes,KC,12
50,(QB2),Josh,Allen,BUF,7
51,(RB22),Javonte,Williams,DEN,11
52,(RB23),Kareem,Hunt,CLE,13
53,(RB24),Myles,Gaskin,MIA,14
54,(RB25),Mike,Davis,ATL,6
55,(WR25),Kenny,Golladay,NYG,10
56,(WR26),Odell,Beckham Jr.,CLE,13
57,(WR27),Robby,Anderson,CAR,13
58,(WR28),JuJu,Smith-Schuster,PIT,7
59,(WR29),Courtland,Sutton,DEN,11
60,(TE4),Mark,Andrews,BAL,8
61,(TE5),T.J.,Hockenson,DET,9
62,(TE6),Kyle,Pitts,ATL,6
63,(QB3),Kyler,Murray,ARI,12
64,(WR30),Jerry,Jeudy,DEN,11
65,(WR31),Chase,Claypool,PIT,7
66,(WR32),Brandin,Cooks,HOU,10
67,(QB4),Dak,Prescott,DAL,7
68,(QB5),Lamar,Jackson,BAL,8
69,(RB26),Darrell,Henderson Jr.,LAR,11
70,(RB27),Damien,Harris,NE,14
71,(WR33),Ja'Marr,Chase,CIN,10
72,(WR34),Will,Fuller V,MIA,14
73,(WR35),Tyler,Boyd,CIN,10
74,(WR36),Laviska,Shenault Jr.,JAC,7
75,(WR37),Michael,Gallup,DAL,7
76,(TE7),Logan,Thomas,WAS,9
77,(WR38),DeVonta,Smith,PHI,14
78,(WR39),Deebo,Samuel,SF,6
79,(QB6),Aaron,Rodgers,GB,13
80,(QB7),Russell,Wilson,SEA,9
81,(QB8),Justin,Herbert,LAC,7
82,(TE8),Noah,Fant,DEN,11
83,(WR40),Corey,Davis,NYJ,6
84,(WR41),Marvin,Jones Jr.,JAC,7
85,(WR42),DJ,Chark Jr.,JAC,7
86,(WR43),Michael,Thomas,NO,6
87,(RB28),Raheem,Mostert,SF,6
88,(RB29),Ty'Son,Williams,BAL,8
89,(WR44),Jarvis,Landry,CLE,13
90,(WR45),Marquise,Brown,BAL,8
91,(WR46),Curtis,Samuel,WAS,9
92,(WR47),Mike,Williams,LAC,7
93,(WR48),Antonio,Brown,TB,9
94,(RB30),Sony,Michel,LAR,11
95,(WR49),Jaylen,Waddle,MIA,14
96,(WR50),Henry,Ruggs III,LV,8
97,(RB31),Kenyan,Drake,LV,8
98,(RB32),Leonard,Fournette,TB,9
99,(RB33),James,Conner,ARI,12
100,(RB34),Melvin,Gordon,DEN,11
101,(RB35),AJ,Dillon,GB,13
102,(RB36),Jamaal,Williams,DET,9
103,(RB37),Zack,Moss,BUF,7
104,(RB38),Devin,Singletary,BUF,7
105,(TE9),Jonnu,Smith,NE,14
106,(TE10),Dallas,Goedert,PHI,14
107,(TE11),Robert,Tonyan,GB,13
108,(TE12),Mike,Gesicki,MIA,14
109,(QB9),Tom,Brady,TB,9
110,(RB39),Nyheim,Hines,IND,14
111,(RB40),Michael,Carter,NYJ,6
112,(RB41),Ronald,Jones II,TB,9
113,(RB42),Trey,Sermon,SF,6
114,(QB10),Jalen,Hurts,PHI,14
115,(QB11),Ryan,Tannehill,TEN,13
116,(QB12),Matthew,Stafford,LAR,11
117,(WR51),Michael,Pittman Jr.,IND,14
118,(WR52),Jakobi,Meyers,NE,14
119,(WR53),Cole,Beasley,BUF,7
120,(WR54),DeVante,Parker,MIA,14
121,(WR55),Marquez,Callaway,NO,6
122,(WR56),Jalen,Reagor,PHI,14
123,(RB43),David,Johnson,HOU,10
124,(RB44),James,White,NE,14
125,(WR57),Tyrell,Williams,DET,9
126,(WR58),Mecole,Hardman,KC,12
127,(WR59),Darnell,Mooney,CHI,10
128,(WR60),Parris,Campbell,IND,14
129,(WR61),Elijah,Moore,NYJ,6
130,(TE13),Tyler,Higbee,LAR,11
131,(TE14),Austin,Hooper,CLE,13
132,(TE15),Hunter,Henry,NE,14
133,(QB13),Joe,Burrow,CIN,10
134,(QB14),Baker,Mayfield,CLE,13
135,(QB15),Tua,Tagovailoa,MIA,14
136,(RB45),Phillip,Lindsay,HOU,10
137,(RB46),J.D.,McKissic,WAS,9
138,(RB47),Tony,Jones Jr.,NO,6
139,(RB48),Tony,Pollard,DAL,7
140,(RB49),Alexander,Mattison,MIN,7
141,(RB50),Malcolm,Brown,MIA,14
142,(RB51),Giovani,Bernard,TB,9
143,(TE16),Rob,Gronkowski,TB,9
144,(TE17),Evan,Engram,NYG,10
145,(TE18),Cole,Kmet,CHI,10
146,(QB16),Trevor,Lawrence,JAC,7
147,(QB17),Matt,Ryan,ATL,6
148,(QB18),Ben,Roethlisberger,PIT,7
149,(QB19),Justin,Fields,CHI,10
150,(WR62),Russell,Gage,ATL,6
151,(WR63),Sterling,Shepard,NYG,10
152,(WR64),Jamison,Crowder,NYJ,6
153,(WR65),Nelson,Agholor,NE,14
154,(WR66),Rondale,Moore,ARI,12
155,(WR67),Terrace,Marshall Jr.,CAR,13
156,(RB52),Rhamondre,Stevenson,NE,14
157,(RB53),Tevin,Coleman,NYJ,6
158,(RB54),Carlos,Hyde,JAC,7
159,(WR68),Bryan,Edwards,LV,8
160,(WR69),A.J.,Green,ARI,12
161,(WR70),Randall,Cobb,GB,13
162,(WR71),Gabriel,Davis,BUF,7
163,(WR72),Emmanuel,Sanders,BUF,7
164,(WR73),Amon-Ra,St. Brown,DET,9
165,(TE19),Eric,Ebron,PIT,7
166,(TE20),Jared,Cook,LAC,7
167,(TE21),Zach,Ertz,PHI,14
168,(QB20),Trey,Lance,SF,6
169,(DST1),Buccaneers,D/ST,TB,9
170,(DST2),Steelers,D/ST,PIT,7
171,(DST3),WFT,D/ST,WAS,9
172,(DST4),Bills,D/ST,BUF,7
173,(DST5),49ers,D/ST,SF,6
174,(DST6),Ravens,D/ST,BAL,8
175,(DST7),Broncos,D/ST,DEN,11
176,(DST8),Rams,D/ST,LAR,11
177,(DST9),Saints,D/ST,NO,6
178,(DST10),Browns,D/ST,CLE,13
179,(DST11),Colts,D/ST,IND,14
180,(DST12),Patriots,D/ST,NE,14
181,(K1),Harrison,Butker,KC,12
182,(K2),Justin,Tucker,BAL,8
183,(K3),Graham,Gano,NYG,10
184,(K4),Jason,Myers,SEA,9
185,(K5),Brandon,McManus,DEN,11
186,(K6),Jason,Sanders,MIA,14
187,(K7),Younghoe,Koo,ATL,6
188,(K8),Matt,Gay,LAR,11
189,(K9),Greg,Zuerlein,DAL,7
190,(K10),Tyler,Bass,BUF,7
191,(K11),Josh,Lambo,JAC,7
192,(K12),Matt,Prater,ARI,12
193,(WR74),Nico,Collins,HOU,10
194,(RB55),Le'Veon,Bell,BAL,8
195,(RB56),Mark,Ingram II,HOU,10
196,(RB57),Wayne,Gallman,ATL,6
197,(RB58),Devontae,Booker,NYG,10
198,(RB59),Rashaad,Penny,SEA,9
199,(RB60),Justin,Jackson,LAC,7
200,(RB61),Damien,Williams,CHI,10
201,(RB62),Chuba,Hubbard,CAR,13
202,(RB63),Darrel,Williams,KC,12
203,(RB64),Ty,Johnson,NYJ,6
204,(RB65),Salvon,Ahmed,MIA,14
205,(RB66),Marlon,Mack,IND,14
206,(RB67),Boston,Scott,PHI,14
207,(RB68),Kenneth,Gainwell,PHI,14
208,(RB69),Jaret,Patterson,WAS,9
209,(RB70),Cordarrelle,Patterson,ATL,6
210,(RB71),Samaje,Perine,CIN,10
211,(TE22),Anthony,Firkser,TEN,13
212,(QB21),Daniel,Jones,NYG,10
213,(WR75),Rashod,Bateman,BAL,8
214,(WR76),Sammy,Watkins,BAL,8
215,(WR77),Tre'Quan,Smith,NO,6
216,(WR78),Van,Jefferson,LAR,11
217,(WR79),Kadarius,Toney,NYG,10
218,(WR80),D'Wayne,Eskridge,SEA,9
219,(QB22),Kirk,Cousins,MIN,7
220,(QB23),Ryan,Fitzpatrick,WAS,9
221,(DST13),Vikings,D/ST,MIN,7
222,(DST14),Packers,D/ST,GB,13
223,(K13),Daniel,Carlson,LV,8
224,(K14),Chase,McLaughlin,CLE,13
225,(WR81),T.Y.,Hilton,IND,14
226,(WR82),Christian,Kirk,ARI,12
227,(WR83),Allen,Lazard,GB,13
228,(WR84),Marquez,Valdes-Scantling,GB,13
229,(WR85),Darius,Slayton,NYG,10
230,(WR86),KJ,Hamler,DEN,11
231,(WR87),DeSean,Jackson,LAR,11
232,(WR88),Anthony,Miller,HOU,10
233,(WR89),Kalif,Raymond,DET,9
234,(WR90),Demarcus,Robinson,KC,12
235,(RB72),Alex,Collins,SEA,9
236,(RB73),Elijah,Mitchell,SF,6
237,(RB74),Jerick,McKinnon,KC,12
238,(RB75),Joshua,Kelley,LAC,7
239,(RB76),Tarik,Cohen,CHI,10
240,(RB77),Darrynton,Evans,TEN,13
241,(RB78),Chris,Evans,CIN,10
242,(RB79),Kyle,Juszczyk,SF,6
243,(QB24),Jameis,Winston,NO,6
244,(QB25),Zach,Wilson,NYJ,6
245,(QB26),Derek,Carr,LV,8
246,(TE23),Gerald,Everett,SEA,9
247,(TE24),Blake,Jarwin,DAL,7
248,(TE25),Tyler,Conklin,MIN,7
249,(TE26),Dawson,Knox,BUF,7
250,(RB80),Anthony,McFarland Jr.,PIT,7
251,(WR91),Chris,Conley,HOU,10
252,(WR92),Hunter,Renfrow,LV,8
253,(DST15),Dolphins,D/ST,MIA,14
254,(DST16),Giants,D/ST,NYG,10
255,(K15),Ryan,Succop,TB,9
256,(K16),Tristan,Vizcaino,LAC,7
257,(TE27),Juwan,Johnson,NO,6
258,(TE28),Adam,Trautman,NO,6
259,(TE29),C.J.,Uzomah,CIN,10
260,(WR93),Quintez,Cephus,DET,9
261,(WR94),Zach,Pascal,IND,14
262,(WR95),Josh,Palmer,LAC,7
263,(WR96),Dyami,Brown,WAS,9
264,(RB81),Dare,Ogunbowale,JAC,7
265,(RB82),Jeremy,McNichols,TEN,13
266,(QB27),Carson,Wentz,IND,14
267,(QB28),Mac,Jones,NE,14
268,(QB29),Jared,Goff,DET,9
269,(QB30),Teddy,Bridgewater,DEN,11
270,(QB31),Sam,Darnold,CAR,13
271,(WR97),Byron,Pringle,KC,12
272,(WR98),Olamide,Zaccheaus,ATL,6
273,(WR99),Keelan,Cole,NYJ,6
274,(WR100),Donovan,Peoples-Jones,CLE$0,
275,(WR101),Josh,Reynolds,TEN,13
